Round,Cost_AgentA,Cost_AgentB
0,10395.0,2669.0
1,9824.0,2633.0
2,9831.0,2637.0
3,9897.0,2665.0
4,9962.0,2648.0
5,9661.0,2650.0
6,9808.0,2637.0
7,9639.0,2641.0
8,9926.0,2628.0
9,9982.0,2628.0
